City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Vieste,IT,41.8825,16.175,80.87,65,3,12.77,clear sky
80,Kaitangata,NZ,-46.2817,169.8464,54.93,73,100,2.06,overcast clouds
81,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,51.39,58,0,4.79,clear sky
82,Penzance,GB,50.1186,-5.5371,57.76,79,31,7.94,scattered clouds
83,Barcelos,PT,41.5388,-8.6151,65.91,94,100,3.49,overcast clouds
84,Leningradskiy,RU,69.3833,178.4167,33.62,99,100,18.1,light rain
85,Cape Town,ZA,-33.9258,18.4232,57.88,86,26,1.99,scattered clouds
86,Apomu,NG,7.3333,4.1833,70.3,97,99,0.76,overcast clouds
87,Xichang,CN,27.8964,102.2634,76.19,60,0,2.46,clear sky
88,Winneba,GH,5.3511,-0.6231,73.6,94,14,6.44,few clouds
89,Batemans Bay,AU,-35.7167,150.1833,63.19,48,1,10.0,clear sky
90,Masuri,KR,35.8488,128.1492,82.15,77,100,3.18,overcast clouds
91,Coihaique,CL,-45.5752,-72.0662,49.95,76,98,12.66,light rain
92,Olafsvik,IS,64.8945,-23.7142,53.42,89,77,3.53,broken clouds
93,San Quintin,MX,30.4833,-115.95,69.98,77,10,10.56,clear sky
94,Souillac,MU,-20.5167,57.5167,68.14,75,2,12.28,clear sky
95,Yulara,AU,-25.2406,130.9889,60.64,33,0,12.66,clear sky
96,Valparaiso,CL,-33.0393,-71.6273,49.64,81,0,5.75,clear sky
97,Paka,MY,4.6374,103.4368,84.13,84,20,2.3,few clouds
98,Tiarei,PF,-17.5333,-149.3333,80.62,66,1,10.11,clear sky
99,Yar-Sale,RU,66.8333,70.8333,55.45,98,100,12.37,light rain
100,Goderich,CA,43.7501,-81.7165,66.9,78,30,11.9,scattered clouds
101,Votkinsk,RU,57.0486,53.9872,66.78,74,56,5.19,broken clouds
102,Avdon,RU,54.6667,55.7167,65.52,72,0,8.95,clear sky
103,Margate,GB,51.3813,1.3862,58.69,76,88,1.99,overcast clouds
104,Georgetown,MY,5.4112,100.3354,87.73,72,20,3.44,few clouds
105,Makakilo City,US,21.3469,-158.0858,80.69,62,0,22.48,clear sky
106,Buala,SB,-8.145,159.5921,79.7,84,100,7.61,light rain
